split,family_id,combination,method,TP,FP,TN,FN,U,truth_unknown,n,correct_definite_coverage,wrong_definite_rate,dangerous_miss,false_positive,unknown_rate
heldout,H_config,ALL,B0,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
heldout,H_config,ALL,B1,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
heldout,H_config,ALL,SkillFlow,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
heldout,H_inventory,00,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_inventory,00,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_inventory,00,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_inventory,01,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_inventory,01,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_inventory,01,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_inventory,10,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_inventory,10,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_inventory,10,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_inventory,11,B0,1,0,1,0,0,0,2,1.0,0.0,0.0,0.0,0.0
heldout,H_inventory,11,B1,1,0,1,0,0,0,2,1.0,0.0,0.0,0.0,0.0
heldout,H_inventory,11,SkillFlow,1,0,1,0,0,0,2,1.0,0.0,0.0,0.0,0.0
heldout,H_inventory,ALL,B0,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
heldout,H_inventory,ALL,B1,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
heldout,H_inventory,ALL,SkillFlow,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
heldout,H_journal,00,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_journal,00,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_journal,00,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_journal,01,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_journal,01,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_journal,01,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_journal,10,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_journal,10,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_journal,10,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_journal,11,B0,1,0,1,0,0,0,2,1.0,0.0,0.0,0.0,0.0
heldout,H_journal,11,B1,1,0,1,0,0,0,2,1.0,0.0,0.0,0.0,0.0
heldout,H_journal,11,SkillFlow,1,0,1,0,0,0,2,1.0,0.0,0.0,0.0,0.0
heldout,H_journal,ALL,B0,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
heldout,H_journal,ALL,B1,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
heldout,H_journal,ALL,SkillFlow,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
heldout,H_manifest,00,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_manifest,00,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_manifest,00,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_manifest,01,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_manifest,01,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_manifest,01,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_manifest,10,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_manifest,10,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_manifest,10,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
heldout,H_manifest,11,B0,1,0,1,0,0,0,2,1.0,0.0,0.0,0.0,0.0
heldout,H_manifest,11,B1,1,0,1,0,0,0,2,1.0,0.0,0.0,0.0,0.0
heldout,H_manifest,11,SkillFlow,1,0,1,0,0,0,2,1.0,0.0,0.0,0.0,0.0
heldout,H_manifest,ALL,B0,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
heldout,H_manifest,ALL,B1,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
heldout,H_manifest,ALL,SkillFlow,1,0,7,0,0,0,8,1.0,0.0,0.0,0.0,0.0
