view_id,query_id,phase,design,protocol,cell,denominator,lower,planned,true,unknown,upper
V01,i_d9f7f47a56f73e0b00390941,f,c1-context-grid,valid_only,p11,15,0.0,15,0,15,1.0
V01,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p00,15,0.0,15,0,0,0.0
V01,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,15,1.0
V01,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p10,15,0.0,15,0,0,0.0
V01,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,p11,15,0.0,15,0,15,1.0
V01,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p00,13,0.0,15,0,0,0.0
V01,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p01,13,0.0,15,0,13,1.0
V01,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p10,13,0.0,15,0,0,0.0
V01,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,p11,13,0.0,15,0,13,1.0
V01,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p00,15,0.0,15,0,0,0.0
V01,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p01,15,0.0,15,0,6,0.4
V01,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p10,15,0.0,15,0,0,0.0
V01,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,p11,15,0.0,15,0,11,0.7333333333333333
V01,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p00,0,,15,0,0,
V01,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p01,0,,15,0,0,
V01,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p10,0,,15,0,0,
V01,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,p11,0,,15,0,0,
V01,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p00,15,0.0,15,0,0,0.0
V01,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,5,0.3333333333333333
