phase,model_config,condition,unit_id,run_id,source_ref,task_success,effect_count,receipt_count
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s01-r1,run-5c1f3fc65e76e5c2f5f3bd11,datasets/t17-v2/stages/g/core-trials.jsonl#L241,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s01-r2,run-4980a066349dfd61d11957fb,datasets/t17-v2/stages/g/core-trials.jsonl#L242,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s01-r3,run-e1ac26299d4fdf86f35cce8c,datasets/t17-v2/stages/g/core-trials.jsonl#L243,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s02-r1,run-0bb0b9fd7f968aca3edb95e4,datasets/t17-v2/stages/g/core-trials.jsonl#L244,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s02-r2,run-e3a2286e3afbaec58d59ca8b,datasets/t17-v2/stages/g/core-trials.jsonl#L245,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s02-r3,run-10fad27992118603008c810d,datasets/t17-v2/stages/g/core-trials.jsonl#L246,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s03-r1,run-05028e98e0751bb66d6101fb,datasets/t17-v2/stages/g/core-trials.jsonl#L247,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s03-r2,run-39fb4731fd70638cbd030353,datasets/t17-v2/stages/g/core-trials.jsonl#L248,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s03-r3,run-15fa2f33c885d1606a02c0f9,datasets/t17-v2/stages/g/core-trials.jsonl#L249,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s04-r1,run-09c1441a949aee3b9986a075,datasets/t17-v2/stages/g/core-trials.jsonl#L250,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s04-r2,run-ba2e239296f7cf4220d71eaf,datasets/t17-v2/stages/g/core-trials.jsonl#L251,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s04-r3,run-c89a4dec8e6e102a24da22ac,datasets/t17-v2/stages/g/core-trials.jsonl#L252,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s05-r1,run-fd552714e13e37d6042fb8b8,datasets/t17-v2/stages/g/core-trials.jsonl#L253,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s05-r2,run-06f9a4e9479bbdc3673c3bf3,datasets/t17-v2/stages/g/core-trials.jsonl#L254,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s05-r3,run-5b32e25ef140c1c73e5b453c,datasets/t17-v2/stages/g/core-trials.jsonl#L255,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s01-r1,run-2cc3283e2574bb0f977a7227,datasets/t17-v2/stages/g/core-trials.jsonl#L256,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s01-r2,run-13c167cfe30357bbff60cccf,datasets/t17-v2/stages/g/core-trials.jsonl#L257,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s01-r3,run-8c8309c47f23bb211d6507ec,datasets/t17-v2/stages/g/core-trials.jsonl#L258,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s02-r1,run-532432623d7c7531a94e0a70,datasets/t17-v2/stages/g/core-trials.jsonl#L259,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s02-r2,run-f910549c93a730f684b374db,datasets/t17-v2/stages/g/core-trials.jsonl#L260,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s02-r3,run-b654a66b4d1c0eb837cb0046,datasets/t17-v2/stages/g/core-trials.jsonl#L261,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s03-r1,run-a044be6f8f19083e61efd1bb,datasets/t17-v2/stages/g/core-trials.jsonl#L262,False,0,0
