domain,cores,replays,uea,task_success,safe_task_success,tp,fp,fn,f1,signed_ci_sum,ci_negative,ci_zero,ci_positive,interpretation
scripted,264,16,17,208,182,2352,0,0,1.0,16,0,0,16,local constructed evidence; not live model frequency
fake_reference,44,5,4,32,26,343,0,0,1.0,5,0,0,5,local constructed evidence; not live model frequency
