phase,mechanism_condition_stratum,depth,artifacts,tp,fp,fn,precision,recall,f1,decay,formula,source,limitation
fh_monitor,Tool Return,4,75,75,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Context,,150,180,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Context,2,90,90,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Context,4,60,90,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Memory,,487,585,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Memory,0,41,41,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Memory,1,13,13,0,0,1.0,1.0,1.0,0.0,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Memory,2,171,217,0,0,1.0,1.0,1.0,0.0,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Memory,3,52,52,0,0,1.0,1.0,1.0,0.0,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Memory,4,54,54,0,0,1.0,1.0,1.0,0.0,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Memory,5,104,156,0,0,1.0,1.0,1.0,0.0,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Memory,8,52,52,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Other conditions,,1513,1636,0,173,1.0,0.904367053620785,0.9497822931785196,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Other conditions,0,148,148,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Other conditions,1,59,30,0,29,1.0,0.5084745762711864,0.6741573033707865,0.4915254237288136,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Other conditions,2,507,655,0,0,1.0,1.0,1.0,-0.4915254237288136,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Other conditions,3,116,59,0,57,1.0,0.5086206896551724,0.6742857142857143,0.4913793103448276,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Other conditions,4,261,291,0,0,1.0,1.0,1.0,-0.4913793103448276,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Other conditions,5,292,323,0,87,1.0,0.7878048780487805,0.8813096862210096,0.21219512195121948,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Other conditions,7,130,130,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Tool Return,,345,435,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Tool Return,0,60,60,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Tool Return,2,210,300,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
fh_enforce,Tool Return,4,75,75,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
