phase,actual_unique_authorization_requests,sensitive_requests_sensitivity_gt0,registered_claim_requests,eligible_low_trust_claim_requests,v2_confirmed_laundering,explicit_reason_missing,note
e,55,34,2,2,1,2,"sensitivity>0 is an exposure inventory descriptor, not a replacement ALR denominator"
f,731,421,24,24,14,24,"sensitivity>0 is an exposure inventory descriptor, not a replacement ALR denominator"
g,237,84,15,15,6,15,"sensitivity>0 is an exposure inventory descriptor, not a replacement ALR denominator"
g_canary,16,7,1,1,1,1,"sensitivity>0 is an exposure inventory descriptor, not a replacement ALR denominator"
h,631,382,22,22,0,22,"sensitivity>0 is an exposure inventory descriptor, not a replacement ALR denominator"
fh_monitor,686,406,24,24,14,24,"sensitivity>0 is an exposure inventory descriptor, not a replacement ALR denominator"
fh_enforce,676,397,22,22,0,22,"sensitivity>0 is an exposure inventory descriptor, not a replacement ALR denominator"
