phase,unit_id,run_id,trial_id,mode,cluster,status,reason,target_alias,source_ref,ci,valid,identity_vs_core_stable,negative,original_effect_ids,neutral_effect_ids,y_original,y_neutral,replay_pair_id,checkpoint_id,source_run_id,original_run_id,neutral_run_id,neutral_baseline,selector,target_artifact_id,all_structural_validity_checks,original_branch_role
g,t17-live-reference-v2-model2-m2-control-normal-s04-r1--replay--m2-memory-1,run-09c1441a949aee3b9986a075,t17-live-reference-v2-model2-m2-control-normal-s04-r1,monitor,s04,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L199,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-control-normal-s04-r1--replay--m2-memory-3,run-09c1441a949aee3b9986a075,t17-live-reference-v2-model2-m2-control-normal-s04-r1,monitor,s04,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L200,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-control-normal-s04-r2--replay--m2-memory-1,run-ba2e239296f7cf4220d71eaf,t17-live-reference-v2-model2-m2-control-normal-s04-r2,monitor,s04,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L201,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-control-normal-s04-r2--replay--m2-memory-3,run-ba2e239296f7cf4220d71eaf,t17-live-reference-v2-model2-m2-control-normal-s04-r2,monitor,s04,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L202,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-control-normal-s04-r3--replay--m2-memory-1,run-c89a4dec8e6e102a24da22ac,t17-live-reference-v2-model2-m2-control-normal-s04-r3,monitor,s04,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L203,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-control-normal-s04-r3--replay--m2-memory-3,run-c89a4dec8e6e102a24da22ac,t17-live-reference-v2-model2-m2-control-normal-s04-r3,monitor,s04,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L204,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-control-normal-s05-r1--replay--m2-memory-1,run-fd552714e13e37d6042fb8b8,t17-live-reference-v2-model2-m2-control-normal-s05-r1,monitor,s05,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L205,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-control-normal-s05-r1--replay--m2-memory-3,run-fd552714e13e37d6042fb8b8,t17-live-reference-v2-model2-m2-control-normal-s05-r1,monitor,s05,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L206,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-control-normal-s05-r2--replay--m2-memory-1,run-06f9a4e9479bbdc3673c3bf3,t17-live-reference-v2-model2-m2-control-normal-s05-r2,monitor,s05,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L207,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-control-normal-s05-r2--replay--m2-memory-3,run-06f9a4e9479bbdc3673c3bf3,t17-live-reference-v2-model2-m2-control-normal-s05-r2,monitor,s05,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L208,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-control-normal-s05-r3--replay--m2-memory-1,run-5b32e25ef140c1c73e5b453c,t17-live-reference-v2-model2-m2-control-normal-s05-r3,monitor,s05,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L209,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-control-normal-s05-r3--replay--m2-memory-3,run-5b32e25ef140c1c73e5b453c,t17-live-reference-v2-model2-m2-control-normal-s05-r3,monitor,s05,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L210,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s01-r1--replay--m2-memory-1,run-2cc3283e2574bb0f977a7227,t17-live-reference-v2-model2-m2-target-revoked-s01-r1,monitor,s01,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L211,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s01-r1--replay--m2-memory-3,run-2cc3283e2574bb0f977a7227,t17-live-reference-v2-model2-m2-target-revoked-s01-r1,monitor,s01,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L212,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s01-r2--replay--m2-memory-1,run-13c167cfe30357bbff60cccf,t17-live-reference-v2-model2-m2-target-revoked-s01-r2,monitor,s01,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L213,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s01-r2--replay--m2-memory-3,run-13c167cfe30357bbff60cccf,t17-live-reference-v2-model2-m2-target-revoked-s01-r2,monitor,s01,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L214,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s01-r3--replay--m2-memory-1,run-8c8309c47f23bb211d6507ec,t17-live-reference-v2-model2-m2-target-revoked-s01-r3,monitor,s01,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L215,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s01-r3--replay--m2-memory-3,run-8c8309c47f23bb211d6507ec,t17-live-reference-v2-model2-m2-target-revoked-s01-r3,monitor,s01,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L216,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s02-r1--replay--m2-memory-1,run-532432623d7c7531a94e0a70,t17-live-reference-v2-model2-m2-target-revoked-s02-r1,monitor,s02,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L217,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s02-r1--replay--m2-memory-3,run-532432623d7c7531a94e0a70,t17-live-reference-v2-model2-m2-target-revoked-s02-r1,monitor,s02,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L218,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s02-r2--replay--m2-memory-1,run-f910549c93a730f684b374db,t17-live-reference-v2-model2-m2-target-revoked-s02-r2,monitor,s02,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L219,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s02-r2--replay--m2-memory-3,run-f910549c93a730f684b374db,t17-live-reference-v2-model2-m2-target-revoked-s02-r2,monitor,s02,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L220,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s02-r3--replay--m2-memory-1,run-b654a66b4d1c0eb837cb0046,t17-live-reference-v2-model2-m2-target-revoked-s02-r3,monitor,s02,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L221,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s02-r3--replay--m2-memory-3,run-b654a66b4d1c0eb837cb0046,t17-live-reference-v2-model2-m2-target-revoked-s02-r3,monitor,s02,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L222,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s03-r1--replay--m2-memory-1,run-a044be6f8f19083e61efd1bb,t17-live-reference-v2-model2-m2-target-revoked-s03-r1,monitor,s03,not_applicable,target_not_produced,m2-memory-1,datasets/t17-v2/stages/g/replay-pairs.jsonl#L223,,False,,False,,,,,,,,,,,,,,
g,t17-live-reference-v2-model2-m2-target-revoked-s03-r1--replay--m2-memory-3,run-a044be6f8f19083e61efd1bb,t17-live-reference-v2-model2-m2-target-revoked-s03-r1,monitor,s03,not_applicable,target_not_produced,m2-memory-3,datasets/t17-v2/stages/g/replay-pairs.jsonl#L224,,False,,False,,,,,,,,,,,,,,
