slot,effect_id,receipt_bound,file_sha256_match,decision_before_effect,independent_authorized,saved_authorized,grant_set_matches,action,session,domain
ALR-I1-R1-identity,ALR-I1-R1-identity:fx0009,True,True,True,True,True,True,claim.read,1,LIVE_SUPPLEMENT
ALR-I1-R1-neutral,ALR-I1-R1-neutral:fx0009,True,True,True,True,True,True,claim.read,1,LIVE_SUPPLEMENT
ALR-I1-R2-P,ALR-I1-R2-P:fx0004,True,True,True,True,True,True,task.prepare,0,LIVE_SUPPLEMENT
ALR-I1-R2-original,ALR-I1-R2-original:fx0009,True,True,True,True,True,True,claim.read,1,LIVE_SUPPLEMENT
ALR-I1-R2-identity,ALR-I1-R2-identity:fx0009,True,True,True,True,True,True,claim.read,1,LIVE_SUPPLEMENT
ALR-I1-R2-neutral,ALR-I1-R2-neutral:fx0009,True,True,True,True,True,True,claim.read,1,LIVE_SUPPLEMENT
ALR-I2-R1-P,ALR-I2-R1-P:fx0004,True,True,True,True,True,True,task.prepare,0,LIVE_SUPPLEMENT
ALR-I2-R1-original,ALR-I2-R1-original:fx0009,True,True,True,True,True,True,claim.read,1,LIVE_SUPPLEMENT
ALR-I2-R1-identity,ALR-I2-R1-identity:fx0009,True,True,True,True,True,True,claim.read,1,LIVE_SUPPLEMENT
ALR-I2-R1-neutral,ALR-I2-R1-neutral:fx0009,True,True,True,True,True,True,claim.read,1,LIVE_SUPPLEMENT
ALR-I2-R2-P,ALR-I2-R2-P:fx0004,True,True,True,True,True,True,task.prepare,0,LIVE_SUPPLEMENT
ALR-I2-R2-original,ALR-I2-R2-original:fx0009,True,True,True,True,True,True,claim.read,1,LIVE_SUPPLEMENT
ALR-I2-R2-identity,ALR-I2-R2-identity:fx0009,True,True,True,True,True,True,claim.read,1,LIVE_SUPPLEMENT
ALR-I2-R2-neutral,ALR-I2-R2-neutral:fx0009,True,True,True,True,True,True,claim.read,1,LIVE_SUPPLEMENT
