split,mechanism,metric,policy,budget,measure,old,corrected,difference
development,ALL,ALL,dependency_guided,58954,unknown_rate,0.13425925925925924,0.1335978835978836,-0.0006613756613756405
development,ALL,ALL,dependency_guided,58954,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,58954,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,58954,error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,58954,infeasible_rate,0.7728174603174603,0.7728174603174603,0.0
development,ALL,ALL,dependency_guided,58954,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,dependency_guided,58954,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,dependency_guided,58954,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,58954,full_state_agreement,0.11871693121693122,0.11937830687830689,0.0006613756613756683
development,ALL,ALL,dependency_guided,58954,full_point_agreement,1.0,1.0,0.0
development,ALL,ALL,dependency_guided,58954,mean_charged_bytes_feasible,52909.58778008778,52850.87552937553,-58.712250712247624
development,ALL,ALL,dependency_guided,58954,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,dependency_guided,58954,mean_visible_json_bytes,2139.1856812169312,2138.5575396825398,-0.6281415343914887
development,ALL,ALL,dependency_guided,58954,mean_acquired_channels,7.652116402116402,7.649140211640211,-0.0029761904761906877
development,ALL,ALL,dependency_guided,58954,mean_evidence_fields,45.73098544973545,45.70651455026455,-0.024470899470898644
development,ALL,ALL,dependency_guided,58954,mean_evidence_events,0.8325066137566137,0.8325066137566137,0.0
development,ALL,ALL,dependency_guided,62026,correct_point_coverage,0.17113095238095238,0.17311507936507936,0.001984126984126977
development,ALL,ALL,dependency_guided,62026,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,62026,selective_error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,62026,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,62026,point_coverage,0.15228174603174602,0.15393518518518517,0.0016534391534391568
development,ALL,ALL,dependency_guided,62026,unknown_rate,0.21577380952380953,0.21412037037037038,-0.0016534391534391568
development,ALL,ALL,dependency_guided,62026,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,62026,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,62026,error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,62026,infeasible_rate,0.6319444444444444,0.6319444444444444,0.0
development,ALL,ALL,dependency_guided,62026,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,dependency_guided,62026,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,dependency_guided,62026,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,62026,full_state_agreement,0.19460978835978834,0.1962632275132275,0.0016534391534391568
development,ALL,ALL,dependency_guided,62026,full_point_agreement,1.0,1.0,0.0
development,ALL,ALL,dependency_guided,62026,mean_charged_bytes_feasible,58348.77812644169,58303.66104774182,-45.117078699870035
development,ALL,ALL,dependency_guided,62026,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,dependency_guided,62026,mean_visible_json_bytes,2174.744212962963,2174.1183862433863,-0.6258267195767075
development,ALL,ALL,dependency_guided,62026,mean_acquired_channels,7.740079365079366,7.735449735449736,-0.004629629629629761
development,ALL,ALL,dependency_guided,62026,mean_evidence_fields,46.595403439153436,46.56944444444444,-0.025958994708993544
development,ALL,ALL,dependency_guided,62026,mean_evidence_events,0.8348214285714286,0.8348214285714286,0.0
development,ALL,ALL,dependency_guided,66121,correct_point_coverage,0.3501984126984127,0.3541666666666667,0.00396825396825401
development,ALL,ALL,dependency_guided,66121,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,66121,selective_error_rate,0.0,0.0,0.0
