condition,budget,seeds,point_count_mean,point_count_min,point_count_max,point_coverage_mean,point_coverage_min,point_coverage_max,eligibility_coverage_mean,eligibility_coverage_min,eligibility_coverage_max,unknown_rate_mean,unknown_rate_min,unknown_rate_max,mean_acquired_families_mean,mean_acquired_families_min,mean_acquired_families_max,mean_added_json_bytes_mean,mean_added_json_bytes_min,mean_added_json_bytes_max
all_nine_missing,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.7276595744680852,0.7276595744680852,0.7276595744680852,0.8468085106382979,0.8468085106382979,0.8468085106382979,0.0,0.0,0.0,0.0,0.0,0.0
all_nine_missing,1,8,1.0,0.0,3.0,0.00425531914893617,0.0,0.01276595744680851,0.7531914893617021,0.7404255319148936,0.7659574468085106,0.8281914893617021,0.8085106382978723,0.8425531914893617,0.8468085106382979,0.8468085106382979,0.8468085106382979,660.3744680851064,499.58297872340427,803.8468085106383
all_nine_missing,2,8,4.375,0.0,7.0,0.018617021276595744,0.0,0.029787234042553193,0.7723404255319148,0.7574468085106383,0.7914893617021277,0.801595744680851,0.7829787234042553,0.8297872340425532,1.675,1.6553191489361703,1.6893617021276597,1470.143085106383,1309.5021276595744,1841.4212765957448
all_nine_missing,3,8,10.0,3.0,17.0,0.0425531914893617,0.01276595744680851,0.07234042553191489,0.798936170212766,0.7829787234042553,0.8212765957446808,0.7622340425531915,0.7276595744680852,0.7829787234042553,2.4765957446808513,2.442553191489362,2.519148936170213,2320.272340425532,2053.506382978723,2645.668085106383
all_nine_missing,4,8,20.75,15.0,33.0,0.08829787234042553,0.06382978723404255,0.14042553191489363,0.8228723404255319,0.8,0.8468085106382979,0.7058510638297872,0.6553191489361702,0.7489361702127659,3.2388297872340424,3.1702127659574466,3.302127659574468,3243.747340425532,2921.6340425531916,3739.4553191489363
all_nine_missing,5,8,36.375,28.0,49.0,0.15478723404255318,0.11914893617021277,0.20851063829787234,0.850531914893617,0.8382978723404255,0.8680851063829788,0.625,0.5702127659574469,0.6595744680851063,3.94468085106383,3.825531914893617,4.034042553191489,4032.7813829787233,3658.182978723404,4449.438297872341
all_nine_missing,6,8,52.625,44.0,60.0,0.22393617021276596,0.18723404255319148,0.2553191489361702,0.8781914893617021,0.8638297872340426,0.902127659574468,0.5409574468085107,0.5106382978723404,0.5787234042553191,4.56968085106383,4.395744680851064,4.693617021276595,4742.554255319149,4261.408510638298,5066.744680851064
all_nine_missing,7,8,73.375,70.0,77.0,0.3122340425531915,0.2978723404255319,0.3276595744680851,0.898936170212766,0.8808510638297873,0.9148936170212766,0.4430851063829787,0.42127659574468085,0.46382978723404256,5.110638297872341,4.906382978723404,5.246808510638298,5472.262234042553,5168.157446808511,5785.404255319149
all_nine_missing,8,8,96.125,92.0,101.0,0.40904255319148936,0.39148936170212767,0.4297872340425532,0.9234042553191489,0.9106382978723404,0.9319148936170213,0.33191489361702126,0.31063829787234043,0.3574468085106383,5.553723404255319,5.361702127659575,5.68936170212766,6159.688297872341,5640.191489361702,6518.7148936170215
all_nine_missing,9,8,126.0,126.0,126.0,0.5361702127659574,0.5361702127659574,0.5361702127659574,0.948936170212766,0.948936170212766,0.948936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,5.88563829787234,5.680851063829787,6.025531914893617,6679.893085106383,6192.046808510639,7101.693617021277
