condition,policy,seed,budget,metric,domain,n_query_observations,unique_queries,unique_registry_units,explicit_construct_families,point_count,point_coverage,not_applicable_count,eligibility_coverage,unknown_count,unknown_rate,analysis_errors,full_point_pairs,full_point_agreement,full_state_agreement,point_not_supported_by_full,independent_truth_n,independent_answered_n,independent_correct_n,independent_truth_coverage,independent_selective_accuracy,independent_eligibility_n,independent_eligibility_coverage,independent_eligibility_accuracy,mean_acquired_families,mean_added_json_bytes
all_nine_missing,random,19106,3,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,0,0.0,40,0.5526315789473685,36,0.47368421052631576,0,0,,0.6052631578947368,0,12,0,0,0.0,,76,0.5526315789473685,1.0,1.618421052631579,1022.828947368421
all_nine_missing,random,19106,3,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,0,0.0,7,0.3333333333333333,17,0.7083333333333334,0,0,,0.5416666666666666,0,8,0,0,0.0,,18,0.4444444444444444,1.0,2.4166666666666665,6418.291666666667
all_nine_missing,random,19106,3,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,3,0.08333333333333333,0,1.0,33,0.9166666666666666,0,3,1.0,0.8333333333333334,0,9,3,3,0.3333333333333333,1.0,36,1.0,1.0,2.9444444444444446,1369.2777777777778
all_nine_missing,random,19106,3,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,7,0.0707070707070707,0,1.0,92,0.9292929292929293,0,7,1.0,0.0707070707070707,0,99,7,7,0.0707070707070707,1.0,99,1.0,1.0,2.95959595959596,3430.4747474747473
all_nine_missing,random,19106,4,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,1,0.013157894736842105,42,0.618421052631579,33,0.4342105263157895,0,1,1.0,0.6447368421052632,0,12,1,1,0.08333333333333333,1.0,76,0.618421052631579,1.0,2.0921052631578947,1289.3157894736842
all_nine_missing,random,19106,4,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,0,0.0,7,0.3333333333333333,17,0.7083333333333334,0,0,,0.5416666666666666,0,8,0,0,0.0,,18,0.4444444444444444,1.0,3.125,7212.625
all_nine_missing,random,19106,4,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,3,0.08333333333333333,0,1.0,33,0.9166666666666666,0,3,1.0,0.8333333333333334,0,9,3,3,0.3333333333333333,1.0,36,1.0,1.0,3.861111111111111,1653.25
all_nine_missing,random,19106,4,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,14,0.1414141414141414,0,1.0,85,0.8585858585858586,0,14,1.0,0.1414141414141414,0,99,14,14,0.1414141414141414,1.0,99,1.0,1.0,3.888888888888889,4083.3333333333335
all_nine_missing,random,19106,5,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,2,0.02631578947368421,44,0.6973684210526315,30,0.39473684210526316,0,2,1.0,0.7236842105263158,0,12,2,2,0.16666666666666666,1.0,76,0.6973684210526315,1.0,2.526315789473684,1853.4342105263158
all_nine_missing,random,19106,5,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,1,0.041666666666666664,7,0.5,16,0.6666666666666666,0,1,1.0,0.5833333333333334,0,8,1,1,0.125,1.0,18,0.6666666666666666,1.0,3.8333333333333335,8430.375
all_nine_missing,random,19106,5,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,6,0.16666666666666666,0,1.0,30,0.8333333333333334,0,6,1.0,0.9166666666666666,0,9,6,6,0.6666666666666666,1.0,36,1.0,1.0,4.777777777777778,2099.1666666666665
all_nine_missing,random,19106,5,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,29,0.29292929292929293,0,1.0,70,0.7070707070707071,0,29,1.0,0.29292929292929293,0,99,29,29,0.29292929292929293,1.0,99,1.0,1.0,4.747474747474747,4911.10101010101
all_nine_missing,random,19106,6,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,6,0.07894736842105263,47,0.7894736842105263,23,0.3026315789473684,0,6,1.0,0.8289473684210527,0,12,6,6,0.5,1.0,76,0.7894736842105263,1.0,2.9210526315789473,1986.9868421052631
all_nine_missing,random,19106,6,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,3,0.125,7,0.5416666666666666,14,0.5833333333333334,0,3,1.0,0.6666666666666666,0,8,3,3,0.375,1.0,18,0.7222222222222222,1.0,4.5,11062
all_nine_missing,random,19106,6,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,7,0.19444444444444445,0,1.0,29,0.8055555555555556,0,7,1.0,0.9444444444444444,0,9,7,7,0.7777777777777778,1.0,36,1.0,1.0,5.611111111111111,2593.9444444444443
all_nine_missing,random,19106,6,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,40,0.40404040404040403,0,1.0,59,0.5959595959595959,0,40,1.0,0.40404040404040403,0,99,40,40,0.40404040404040403,1.0,99,1.0,1.0,5.454545454545454,5863.080808080808
all_nine_missing,random,19106,7,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,9,0.11842105263157894,50,0.8421052631578947,17,0.2236842105263158,0,9,1.0,0.9210526315789473,0,12,9,9,0.75,1.0,76,0.8421052631578947,1.0,3.223684210526316,2361.407894736842
all_nine_missing,random,19106,7,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,4,0.16666666666666666,9,0.6666666666666666,11,0.4583333333333333,0,4,1.0,0.7916666666666666,0,8,4,4,0.5,1.0,18,0.8888888888888888,1.0,5.083333333333333,13070.041666666666
all_nine_missing,random,19106,7,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,9,0.25,0,1.0,27,0.75,0,9,1.0,1.0,0,9,9,9,1.0,1.0,36,1.0,1.0,6.416666666666667,3163.75
all_nine_missing,random,19106,7,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,55,0.5555555555555556,0,1.0,44,0.4444444444444444,0,55,1.0,0.5555555555555556,0,99,55,55,0.5555555555555556,1.0,99,1.0,1.0,6.05050505050505,6567.626262626262
all_nine_missing,random,19106,8,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,9,0.11842105263157894,52,0.881578947368421,15,0.19736842105263158,0,9,1.0,0.9473684210526315,0,12,9,9,0.75,1.0,76,0.881578947368421,1.0,3.4473684210526314,2476.2631578947367
all_nine_missing,random,19106,8,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,6,0.25,9,0.6666666666666666,9,0.375,0,6,1.0,0.875,0,8,6,6,0.75,1.0,18,0.8888888888888888,1.0,5.541666666666667,15654.833333333334
all_nine_missing,random,19106,8,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,9,0.25,0,1.0,27,0.75,0,9,1.0,1.0,0,9,9,9,1.0,1.0,36,1.0,1.0,7.166666666666667,3939
all_nine_missing,random,19106,8,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,77,0.7777777777777778,0,1.0,22,0.2222222222222222,0,77,1.0,0.7777777777777778,0,99,77,77,0.7777777777777778,1.0,99,1.0,1.0,6.494949494949495,7032.787878787879
