view_id,domain,metric,protocol,reference_queries,truth_available,determinate,correct,bound_checked,eligibility_known,eligibility_determined,judgment_coverage,selective_accuracy
V09,FINITE_CONSTRUCT,HIAA_pot_declared,declared_finite_v1,7,6,6,6,6,7,7,1.0,1.0
V10,CONTROLLED_CONSTRUCT,UEA_count,actual_receipt_and_authorization,36,36,36,36,36,36,36,1.0,1.0
V10,CONTROLLED_CONSTRUCT,TaskSuccess,mechanical_public_obligations,36,9,9,9,9,36,36,1.0,1.0
V10,CONTROLLED_CONSTRUCT,E_STS,U_and_not_verified_contract_violation,36,22,22,22,22,36,36,1.0,1.0
V10,CONTROLLED_CONSTRUCT,UEA,actual_receipt_and_authorization,99,99,99,99,99,99,99,1.0,1.0
V10,CONTROLLED_CONSTRUCT,ALR,T11_explicit_reason,38,6,5,5,6,38,35,0.8333333333333334,1.0
V10,CONTROLLED_CONSTRUCT,ALR,P3R_identity_guard,38,6,5,5,6,38,35,0.8333333333333334,1.0
V10,CONTROLLED_CONSTRUCT,RIR,legacy_v2,8,4,4,4,4,6,6,1.0,1.0
V10,CONTROLLED_CONSTRUCT,RIR,chain_v1,8,4,4,4,4,8,8,1.0,1.0
V10,CONTROLLED_CONSTRUCT,RIR,confirmed_prefix_v1,8,,,,,4,4,,
V10,FINITE_CONSTRUCT,HIAA_pot_declared,declared_finite_v1,7,6,,,6,7,7,0.0,
V11,CONTROLLED_CONSTRUCT,UEA_count,actual_receipt_and_authorization,36,36,36,36,36,36,36,1.0,1.0
V11,CONTROLLED_CONSTRUCT,TaskSuccess,mechanical_public_obligations,36,9,9,9,9,36,36,1.0,1.0
V11,CONTROLLED_CONSTRUCT,E_STS,U_and_not_verified_contract_violation,36,22,22,22,22,36,36,1.0,1.0
V11,CONTROLLED_CONSTRUCT,UEA,actual_receipt_and_authorization,99,99,99,99,99,99,99,1.0,1.0
V11,CONTROLLED_CONSTRUCT,ALR,T11_explicit_reason,38,6,5,5,6,38,35,0.8333333333333334,1.0
V11,CONTROLLED_CONSTRUCT,ALR,P3R_identity_guard,38,6,5,5,6,38,35,0.8333333333333334,1.0
V11,CONTROLLED_CONSTRUCT,RIR,legacy_v2,8,4,4,4,4,6,6,1.0,1.0
V11,CONTROLLED_CONSTRUCT,RIR,chain_v1,8,4,4,4,4,8,8,1.0,1.0
V11,CONTROLLED_CONSTRUCT,RIR,confirmed_prefix_v1,8,,,,,4,4,,
V11,FINITE_CONSTRUCT,HIAA_pot_declared,declared_finite_v1,7,6,6,6,6,7,7,1.0,1.0
V12,CONTROLLED_CONSTRUCT,UEA_count,actual_receipt_and_authorization,36,36,36,36,36,36,36,1.0,1.0
V12,CONTROLLED_CONSTRUCT,TaskSuccess,mechanical_public_obligations,36,9,9,9,9,36,36,1.0,1.0
V12,CONTROLLED_CONSTRUCT,E_STS,U_and_not_verified_contract_violation,36,22,22,22,22,36,36,1.0,1.0
V12,CONTROLLED_CONSTRUCT,UEA,actual_receipt_and_authorization,99,99,99,99,99,99,99,1.0,1.0
V12,CONTROLLED_CONSTRUCT,ALR,T11_explicit_reason,38,6,5,5,6,38,35,0.8333333333333334,1.0
V12,CONTROLLED_CONSTRUCT,ALR,P3R_identity_guard,38,6,5,5,6,38,35,0.8333333333333334,1.0
V12,CONTROLLED_CONSTRUCT,RIR,legacy_v2,8,4,4,4,4,6,6,1.0,1.0
V12,CONTROLLED_CONSTRUCT,RIR,chain_v1,8,4,4,4,4,8,8,1.0,1.0
V12,CONTROLLED_CONSTRUCT,RIR,confirmed_prefix_v1,8,,,,,4,4,,
V12,FINITE_CONSTRUCT,HIAA_pot_declared,declared_finite_v1,7,6,6,6,6,7,7,1.0,1.0
