split,family_id,mechanism,metric,policy,budget,observations,oracle_point,oracle_unknown,oracle_not_applicable,point,bounded,unknown,not_applicable,error,infeasible,answered_oracle_point,correct_point,wrong_point,wrong_safe,full_comparable,full_agree,full_point_comparable,full_point_agree,feasible,charged_total_bytes,initial_bytes,visible_json_bytes,acquired_channels,evidence_fields,evidence_events,correct_point_coverage,wrong_point_rate,selective_error_rate,wrong_safe_rate,point_coverage,unknown_rate,bounded_rate,not_applicable_rate,error_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate,full_state_agreement,full_point_agreement,mean_charged_bytes_feasible,mean_initial_bytes,mean_visible_json_bytes,mean_acquired_channels,mean_evidence_fields,mean_evidence_events,query_count,unit_count,averaged_query_conditions
development,D01_append_journal,ALL,ALL,global_fixed,0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,6998794.666666667,228073.33333333334,836.0,4538.666666666667,91.33333333333333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,62489.2380952381,2036.3690476190477,7.464285714285714,40.523809523809526,0.8154761904761905,8,4,112
development,D01_append_journal,ALL,ALL,global_fixed,39499,112.0,112.0,0.0,0.0,1.0,0.0,7.666666666666666,0.0,0.0,103.33333333333333,1.0,1.0,0.0,0.0,112.0,1.0,1.0,1.0,8.666666666666666,323884.0,6998794.666666667,229272.0,845.3333333333334,4564.0,92.0,0.008928571428571428,0.0,0.0,0.0,0.008928571428571428,0.06845238095238095,0.0,0.0,0.0,0.9226190476190476,1.0,0.0,0.0,0.008928571428571428,1.0,37371.23076923077,62489.2380952381,2047.0714285714287,7.547619047619048,40.75,0.8214285714285714,8,4,112
development,D01_append_journal,ALL,ALL,global_fixed,50761,112.0,112.0,0.0,0.0,2.333333333333333,0.0,12.333333333333332,0.0,0.0,97.33333333333333,2.333333333333333,2.333333333333333,0.0,0.0,112.0,2.333333333333333,2.333333333333333,2.333333333333333,14.666666666666666,666685.3333333334,6998794.666666667,232113.33333333334,853.6666666666666,4632.666666666667,95.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.1101190476190476,0.0,0.0,0.0,0.869047619047619,1.0,0.0,0.0,0.020833333333333332,1.0,45455.818181818184,62489.2380952381,2072.440476190476,7.622023809523809,41.36309523809524,0.8482142857142857,8,4,112
development,D01_append_journal,ALL,ALL,global_fixed,58954,112.0,112.0,0.0,0.0,7.333333333333333,0.0,18.666666666666668,0.0,0.0,86.0,7.333333333333333,7.333333333333333,0.0,0.0,112.0,7.333333333333333,7.333333333333333,7.333333333333333,26.0,1331417.3333333333,6998794.666666667,233680.33333333334,861.3333333333334,4664.333333333333,98.0,0.06547619047619048,0.0,0.0,0.0,0.06547619047619048,0.16666666666666669,0.0,0.0,0.0,0.7678571428571429,1.0,0.0,0.0,0.06547619047619048,1.0,51208.35897435897,62489.2380952381,2086.4315476190477,7.690476190476191,41.64583333333333,0.875,8,4,112
development,D01_append_journal,ALL,ALL,global_fixed,62026,112.0,112.0,0.0,0.0,16.0,0.0,28.0,0.0,0.0,68.0,16.0,16.0,0.0,0.0,112.0,16.0,16.0,16.0,44.0,2625378.6666666665,6998794.666666667,241148.0,877.0,4844.666666666667,98.33333333333333,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.25,0.0,0.0,0.0,0.6071428571428571,1.0,0.0,0.0,0.14285714285714285,1.0,59667.69696969697,62489.2380952381,2153.1071428571427,7.830357142857143,43.25595238095239,0.8779761904761905,8,4,112
development,D01_append_journal,ALL,ALL,global_fixed,66121,112.0,112.0,0.0,0.0,22.333333333333332,0.0,31.666666666666668,0.0,0.0,58.0,22.333333333333332,22.333333333333332,0.0,0.0,112.0,22.333333333333332,22.333333333333332,22.333333333333332,54.0,3282161.3333333335,6998794.666666667,240904.66666666666,876.3333333333334,4832.333333333333,98.33333333333333,0.1994047619047619,0.0,0.0,0.0,0.1994047619047619,0.28273809523809523,0.0,0.0,0.0,0.5178571428571429,1.0,0.0,0.0,0.1994047619047619,1.0,60780.76543209877,62489.2380952381,2150.934523809524,7.824404761904762,43.14583333333333,0.8779761904761905,8,4,112
development,D01_append_journal,ALL,ALL,global_fixed,72264,112.0,112.0,0.0,0.0,35.666666666666664,0.0,35.0,0.0,0.0,41.333333333333336,35.666666666666664,35.666666666666664,0.0,0.0,112.0,35.666666666666664,35.666666666666664,35.666666666666664,70.66666666666667,4415256.0,6998794.666666667,241269.66666666666,879.0,4821.0,98.66666666666667,0.31845238095238093,0.0,0.0,0.0,0.31845238095238093,0.3125,0.0,0.0,0.0,0.36904761904761907,1.0,0.0,0.0,0.31845238095238093,1.0,62480.03773584905,62489.2380952381,2154.1934523809523,7.848214285714286,43.044642857142854,0.880952380952381,8,4,112
development,D01_append_journal,ALL,ALL,global_fixed,72267,112.0,112.0,0.0,0.0,51.333333333333336,0.0,36.666666666666664,0.0,0.0,24.0,51.333333333333336,51.333333333333336,0.0,0.0,112.0,51.333333333333336,51.333333333333336,51.333333333333336,88.0,5675717.333333333,6998794.666666667,241669.66666666666,879.3333333333334,4829.0,98.66666666666667,0.45833333333333337,0.0,0.0,0.0,0.45833333333333337,0.3273809523809524,0.0,0.0,0.0,0.21428571428571427,1.0,0.0,0.0,0.45833333333333337,1.0,64496.78787878787,62489.2380952381,2157.7648809523807,7.851190476190476,43.11607142857143,0.880952380952381,8,4,112
development,D01_append_journal,ALL,ALL,global_fixed,73290,112.0,112.0,0.0,0.0,76.0,0.0,36.0,0.0,0.0,0.0,76.0,76.0,0.0,0.0,112.0,76.0,76.0,76.0,112.0,7437749.333333333,6998794.666666667,241781.33333333334,879.3333333333334,4831.333333333333,99.0,0.6785714285714286,0.0,0.0,0.0,0.6785714285714286,0.32142857142857145,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6785714285714286,1.0,66408.47619047618,62489.2380952381,2158.761904761905,7.851190476190476,43.13690476190476,0.8839285714285714,8,4,112
development,D01_append_journal,ALL,ALL,global_fixed,76363,112.0,112.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0,112.0,112.0,112.0,112.0,112.0,7883189.333333333,6998794.666666667,259599.66666666666,915.3333333333334,5213.0,102.66666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,70385.61904761904,62489.2380952381,2317.8541666666665,8.172619047619047,46.544642857142854,0.9166666666666667,8,4,112
development,D01_append_journal,ALL,ALL,metric_static,0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,6998794.666666667,228073.33333333334,836.0,4538.666666666667,91.33333333333333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,62489.2380952381,2036.3690476190477,7.464285714285714,40.523809523809526,0.8154761904761905,8,4,112
development,D01_append_journal,ALL,ALL,metric_static,39499,112.0,112.0,0.0,0.0,1.0,0.0,7.666666666666666,0.0,0.0,103.33333333333333,1.0,1.0,0.0,0.0,112.0,1.0,1.0,1.0,8.666666666666666,325249.3333333333,6998794.666666667,229078.33333333334,844.3333333333334,4558.666666666667,92.66666666666667,0.008928571428571428,0.0,0.0,0.0,0.008928571428571428,0.06845238095238095,0.0,0.0,0.0,0.9226190476190476,1.0,0.0,0.0,0.008928571428571428,1.0,37528.769230769234,62489.2380952381,2045.342261904762,7.538690476190476,40.702380952380956,0.8273809523809524,8,4,112
