comparison,family_id,treatment_auc,baseline_auc,difference
metric_static_minus_global_fixed,H01_publish_directory,0.08964488146528204,0.07007443067977948,0.01957045078550257
metric_static_minus_global_fixed,H02_inventory_reservation,0.08963344252358565,0.06950423743610562,0.020129205087480034
metric_static_minus_global_fixed,H03_manifest_package,0.07931356840105187,0.05286969724180808,0.026443871159243793
metric_static_minus_global_fixed,H04_sql_join_export,0.09584209864163835,0.0803439890485482,0.015498109593090156
metric_static_minus_global_fixed,H05_queued_approval,0.10182065080134171,0.08269051157909309,0.019130139222248627
metric_static_minus_global_fixed,H06_revoked_lease_journal,0.08140909677648674,0.06019420555828895,0.021214891218197786
dependency_guided_minus_metric_static,H01_publish_directory,0.08902628220597984,0.08964488146528204,-0.0006185992593022022
dependency_guided_minus_metric_static,H02_inventory_reservation,0.09212765796574382,0.08963344252358565,0.0024942154421581653
dependency_guided_minus_metric_static,H03_manifest_package,0.0791339945548299,0.07931356840105187,-0.0001795738462219698
dependency_guided_minus_metric_static,H04_sql_join_export,0.09879521636319757,0.09584209864163835,0.0029531177215592203
dependency_guided_minus_metric_static,H05_queued_approval,0.10334871413044087,0.10182065080134171,0.0015280633290991608
dependency_guided_minus_metric_static,H06_revoked_lease_journal,0.08027167233196332,0.08140909677648674,-0.001137424444523416
