cost,split,metric,mechanism,policy,rho,families,observations,reference_point,reference_unknown,reference_not_applicable,correct,wrong,wrong_safe,point,unknown,infeasible,not_applicable,correct_coverage,wrong_rate,wrong_safe_rate,unknown_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate
C1,development,ALL,ALL,global_fixed,1.0,6,784.0,672.0,112.0,0.0,672.0,0.0,0.0,672.0,112.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.0,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.05,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.1,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.15,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.2,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.25,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,783.0,0.0,0.0,0.0,0.0,0.000992063492063492,0.9990079365079365,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.3,6,784.0,672.0,112.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,4.0,779.6666666666666,0.0,0.000496031746031746,0.0,0.0,0.004629629629629629,0.9950396825396826,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.35,6,784.0,672.0,112.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,5.0,778.6666666666666,0.0,0.000496031746031746,0.0,0.0,0.005621693121693121,0.9940476190476191,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.4,6,784.0,672.0,112.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,16.666666666666664,767.0,0.0,0.000496031746031746,0.0,0.0,0.0205026455026455,0.9791666666666667,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.45,6,784.0,672.0,112.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,28.0,755.6666666666666,0.0,0.000496031746031746,0.0,0.0,0.035383597883597885,0.9642857142857142,0.8888888888888888,0.1111111111111111,0.0
