phase,run_id,artifact_id,depth,expected_depth,match,paths,truncated
f,run-fcdcdf70562a4bb087ba0aaa,artifact-9472af9169eacb29,4,4,True,11,False
f,run-fcdcdf70562a4bb087ba0aaa,artifact-ad5b46988d1ce3d9,4,4,True,11,False
f,run-35badb8b29010611f8fbfd8d,artifact-74822d43d759ba67,2,2,True,3,False
f,run-35badb8b29010611f8fbfd8d,artifact-018eac5b236bbfdb,4,4,True,11,False
f,run-35badb8b29010611f8fbfd8d,artifact-a11b40205da3825c,4,4,True,11,False
f,run-8640c82dd3eda8e0bc97dcee,artifact-a0b7a3a564b1315d,2,2,True,3,False
f,run-8640c82dd3eda8e0bc97dcee,artifact-23a8131fde7e64b8,4,4,True,11,False
f,run-8640c82dd3eda8e0bc97dcee,artifact-5a7dc7325504ca1a,4,4,True,11,False
f,run-c7990f016f03df407cbddeaf,artifact-34ba24975c062155,2,2,True,3,False
f,run-c7990f016f03df407cbddeaf,artifact-0a9b8b64a21ea6c1,2,2,True,3,False
f,run-7ecb98ad645a6666bc688d06,artifact-1e90b8819ece36f9,2,2,True,3,False
f,run-7ecb98ad645a6666bc688d06,artifact-ea0139cb0dad25f7,2,2,True,3,False
f,run-dfef1d3e635e3104a2773f23,artifact-c07c55e1122db5bd,2,2,True,3,False
f,run-dfef1d3e635e3104a2773f23,artifact-ec83a7407351c779,2,2,True,3,False
f,run-517fd6c9175fc9f9418ce3f8,artifact-3918b88d6b540f6c,2,2,True,3,False
f,run-517fd6c9175fc9f9418ce3f8,artifact-60e674daa5c8e22b,2,2,True,3,False
f,run-571528ccebb4e80de96cb6f0,artifact-4601232a8bb71bde,2,2,True,3,False
f,run-571528ccebb4e80de96cb6f0,artifact-b3bf12cf6995c70b,2,2,True,3,False
f,run-7105cf20c61ed8942a599a44,artifact-da5ed71e1e4afd80,2,2,True,3,False
f,run-7105cf20c61ed8942a599a44,artifact-65dd18dee3b6c062,2,2,True,3,False
f,run-152e524e6b15065859c21735,artifact-a29ccd089ec4e013,2,2,True,3,False
f,run-152e524e6b15065859c21735,artifact-dfa4dc4a71bb0b4d,2,2,True,3,False
f,run-ccd8c170d9938905f5938644,artifact-7d2d1e2de0d31a6b,2,2,True,3,False
f,run-ccd8c170d9938905f5938644,artifact-467f587593fd894f,2,2,True,3,False
f,run-bf3a0a6b01e1ab41a75baf07,artifact-942928a7979c875e,2,2,True,3,False
