condition,policy,seed,budget,n_query_observations,unique_queries,unique_registry_units,explicit_construct_families,point_count,point_coverage,not_applicable_count,eligibility_coverage,unknown_count,unknown_rate,analysis_errors,full_point_pairs,full_point_agreement,full_state_agreement,point_not_supported_by_full,independent_truth_n,independent_answered_n,independent_correct_n,independent_truth_coverage,independent_selective_accuracy,independent_eligibility_n,independent_eligibility_coverage,independent_eligibility_accuracy,mean_acquired_families,mean_added_json_bytes
all_nine_missing,random,19101,1,240,240,240,9,24,0.1,51,0.6541666666666667,165,0.6875,0,24,1.0,0.37083333333333335,0,5,0,0,0.0,,9,0.4444444444444444,1.0,0.7166666666666667,1098.1375
all_nine_missing,random,19101,2,240,240,240,9,30,0.125,56,0.6791666666666667,154,0.6416666666666667,0,30,1.0,0.4166666666666667,0,5,0,0,0.0,,9,0.6666666666666666,1.0,1.4041666666666666,1815.8375
all_nine_missing,random,19101,3,240,240,240,9,33,0.1375,62,0.7125,145,0.6041666666666666,0,33,1.0,0.45416666666666666,0,5,0,0,0.0,,9,0.6666666666666666,1.0,2.0458333333333334,3626.195833333333
all_nine_missing,random,19101,4,240,240,240,9,40,0.16666666666666666,68,0.7458333333333333,132,0.55,0,40,1.0,0.5083333333333333,0,5,1,1,0.2,1.0,9,0.6666666666666666,1.0,2.65,4740.170833333334
all_nine_missing,random,19101,5,240,240,240,9,51,0.2125,74,0.7958333333333333,115,0.4791666666666667,0,51,1.0,0.5791666666666667,0,5,2,2,0.4,1.0,9,0.7777777777777778,1.0,3.2,6290.141666666666
all_nine_missing,random,19101,6,240,240,240,9,62,0.25833333333333336,74,0.8208333333333333,104,0.43333333333333335,0,62,1.0,0.625,0,5,3,3,0.6,1.0,9,0.8888888888888888,1.0,3.6791666666666667,7690.945833333333
all_nine_missing,random,19101,7,240,240,240,9,80,0.3333333333333333,77,0.8458333333333333,83,0.3458333333333333,0,80,1.0,0.7125,0,5,4,4,0.8,1.0,9,0.8888888888888888,1.0,4.1125,8874.491666666667
all_nine_missing,random,19101,8,240,240,240,9,103,0.42916666666666664,83,0.8958333333333334,54,0.225,0,103,1.0,0.8333333333333334,0,5,4,4,0.8,1.0,9,0.8888888888888888,1.0,4.458333333333333,9998.3625
all_nine_missing,random,19101,9,240,240,240,9,135,0.5625,91,0.9583333333333334,14,0.058333333333333334,0,135,1.0,1.0,0,5,5,5,1.0,1.0,9,0.8888888888888888,1.0,4.683333333333334,10842.670833333334
all_nine_missing,random,19102,0,240,240,240,9,21,0.0875,47,0.6333333333333333,172,0.7166666666666667,0,21,1.0,0.3416666666666667,0,5,0,0,0.0,,9,0.4444444444444444,1.0,0,0
