view_id,query_id,domain,phase,native_unit_ref,protocol,horizon,source_variant,source_ref,result_ref,eligibility,status,value,lower,upper,any_unauthorized_effect,confirmed_prefix,memory_formed,predicate_value,revoked,session_complete
V00,i_f18d8628c88357b491b6b82d,HISTORICAL_LIVE,f,run-3265920d4d07ccae540ed749,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L244,results/V00.jsonl#L4179,False,not_applicable,,,,False,,False,False,True,False
V00,i_61a9fc261c9ecd390d0fdf2d,HISTORICAL_LIVE,f,run-3265920d4d07ccae540ed749,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L244,results/V00.jsonl#L4180,False,not_applicable,,,,False,,False,False,True,False
V00,i_f1eeaea5e8b29d817e17007d,HISTORICAL_LIVE,f,run-3265920d4d07ccae540ed749,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L244,results/V00.jsonl#L4181,False,not_applicable,,,,False,,False,False,True,False
V00,i_70cca4a51e377ba0e8f7f6b7,HISTORICAL_LIVE,f,run-3265920d4d07ccae540ed749,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L244,results/V00.jsonl#L4182,False,not_applicable,,,,False,,False,False,True,False
V00,i_e4d2da16fb157c4d3b9c54a1,HISTORICAL_LIVE,f,run-272cf513cec65388f4c9f210,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L245,results/V00.jsonl#L4193,False,not_applicable,,,,False,,False,False,True,False
V00,i_b5acdc7945d34dcb64f93493,HISTORICAL_LIVE,f,run-272cf513cec65388f4c9f210,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L245,results/V00.jsonl#L4194,False,not_applicable,,,,False,,False,False,True,False
V00,i_0603b627d9ed9d57f7f09d07,HISTORICAL_LIVE,f,run-272cf513cec65388f4c9f210,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L245,results/V00.jsonl#L4195,False,not_applicable,,,,False,,False,False,True,False
V00,i_4bae7bbd29b71aa3d72859ae,HISTORICAL_LIVE,f,run-272cf513cec65388f4c9f210,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L245,results/V00.jsonl#L4196,False,not_applicable,,,,False,,False,False,True,False
V00,i_8f259229cd38172415124f4c,HISTORICAL_LIVE,f,run-272cf513cec65388f4c9f210,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L245,results/V00.jsonl#L4197,False,not_applicable,,,,False,,False,False,True,False
V00,i_0b22f07d8602aa685ab5a187,HISTORICAL_LIVE,f,run-272cf513cec65388f4c9f210,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L245,results/V00.jsonl#L4198,False,not_applicable,,,,False,,False,False,True,False
V00,i_629d44384f808bc952c38527,HISTORICAL_LIVE,f,run-bb98053ed921b2a7848ccf4d,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L246,results/V00.jsonl#L4209,False,not_applicable,,,,False,,False,False,True,False
V00,i_f31ad60b97e02b7cb3b8c9ab,HISTORICAL_LIVE,f,run-bb98053ed921b2a7848ccf4d,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L246,results/V00.jsonl#L4210,False,not_applicable,,,,False,,False,False,True,False
V00,i_5958a5526596c278198a369c,HISTORICAL_LIVE,f,run-bb98053ed921b2a7848ccf4d,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L246,results/V00.jsonl#L4211,False,not_applicable,,,,False,,False,False,True,False
V00,i_9c4661cb3816bc4c03e59c21,HISTORICAL_LIVE,f,run-bb98053ed921b2a7848ccf4d,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L246,results/V00.jsonl#L4212,False,not_applicable,,,,False,,False,False,True,False
V00,i_34f287d1ab9e1a6ee4a9390c,HISTORICAL_LIVE,f,run-bb98053ed921b2a7848ccf4d,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L246,results/V00.jsonl#L4213,False,not_applicable,,,,False,,False,False,True,False
V00,i_55bf2659fe99da0260411895,HISTORICAL_LIVE,f,run-bb98053ed921b2a7848ccf4d,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L246,results/V00.jsonl#L4214,False,not_applicable,,,,False,,False,False,True,False
V00,i_67c4554d6e4a16d543aba0cb,HISTORICAL_LIVE,f,run-b85ab67f96ecede543288f0d,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L247,results/V00.jsonl#L4256,True,point,False,False,False,False,,True,False,True,True
V00,i_47e73c9b5c7bd2cc15e5d279,HISTORICAL_LIVE,f,run-b85ab67f96ecede543288f0d,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L247,results/V00.jsonl#L4257,True,point,False,False,False,False,,True,False,True,True
V00,i_1f4d0d304ba4f968c0a5beca,HISTORICAL_LIVE,f,run-b85ab67f96ecede543288f0d,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L247,results/V00.jsonl#L4258,,unknown,,,,False,,True,False,True,True
V00,i_bc2d680b054714ee6534c7c2,HISTORICAL_LIVE,f,run-b85ab67f96ecede543288f0d,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L247,results/V00.jsonl#L4259,True,point,False,False,False,False,,True,False,True,True
V00,i_2896f1f91836b861094a7898,HISTORICAL_LIVE,f,run-b85ab67f96ecede543288f0d,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L247,results/V00.jsonl#L4260,True,point,False,False,False,False,,True,False,True,True
V00,i_305d3acc850f3d58f4101371,HISTORICAL_LIVE,f,run-b85ab67f96ecede543288f0d,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L247,results/V00.jsonl#L4261,,unknown,,,,False,,True,False,True,True
V00,i_3941b2b5d9efe70760b9bb6d,HISTORICAL_LIVE,f,run-d9ff35be70f6d71b0b3e5d58,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L248,results/V00.jsonl#L4281,False,not_applicable,,,,False,,False,False,True,False
V00,i_4ac9fddce137289e32d3287f,HISTORICAL_LIVE,f,run-d9ff35be70f6d71b0b3e5d58,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L248,results/V00.jsonl#L4282,False,not_applicable,,,,False,,False,False,True,False
V00,i_874e938e4f6d67501fba2fcd,HISTORICAL_LIVE,f,run-d9ff35be70f6d71b0b3e5d58,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L248,results/V00.jsonl#L4283,False,not_applicable,,,,False,,False,False,True,False
V00,i_99270c431d556d2e58b6fd34,HISTORICAL_LIVE,f,run-d9ff35be70f6d71b0b3e5d58,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L248,results/V00.jsonl#L4284,False,not_applicable,,,,False,,False,False,True,False
V00,i_c591dbdbf001a15d1947b6cb,HISTORICAL_LIVE,f,run-d9ff35be70f6d71b0b3e5d58,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L248,results/V00.jsonl#L4285,False,not_applicable,,,,False,,False,False,True,False
V00,i_5df63db8f903d2f1aeb63a4e,HISTORICAL_LIVE,f,run-d9ff35be70f6d71b0b3e5d58,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L248,results/V00.jsonl#L4286,False,not_applicable,,,,False,,False,False,True,False
V00,i_2dc8f66ba95f4ef753f72007,HISTORICAL_LIVE,f,run-23cd86183b03953152319749,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L249,results/V00.jsonl#L4328,True,point,False,False,False,False,,True,False,True,True
V00,i_78c73a72d56e0ac9a1cb075d,HISTORICAL_LIVE,f,run-23cd86183b03953152319749,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L249,results/V00.jsonl#L4329,True,point,False,False,False,False,,True,False,True,True
V00,i_34afff10ca50ef97555577be,HISTORICAL_LIVE,f,run-23cd86183b03953152319749,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L249,results/V00.jsonl#L4330,,unknown,,,,False,,True,False,True,True
V00,i_afa451231c8dd0d6c5c742f7,HISTORICAL_LIVE,f,run-23cd86183b03953152319749,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L249,results/V00.jsonl#L4331,True,point,False,False,False,False,,True,False,True,True
V00,i_15a9d37e74ca5e8838bdd980,HISTORICAL_LIVE,f,run-23cd86183b03953152319749,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L249,results/V00.jsonl#L4332,True,point,False,False,False,False,,True,False,True,True
V00,i_357fa8bba75eea9dd70a4431,HISTORICAL_LIVE,f,run-23cd86183b03953152319749,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L249,results/V00.jsonl#L4333,,unknown,,,,False,,True,False,True,True
V00,i_a40262d772f143da4080c0f0,HISTORICAL_LIVE,f,run-f0dd00227515173a1c001c7d,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L250,results/V00.jsonl#L4353,False,not_applicable,,,,False,,False,False,True,False
V00,i_d3506ca0ef184e6bb1d0b147,HISTORICAL_LIVE,f,run-f0dd00227515173a1c001c7d,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L250,results/V00.jsonl#L4354,False,not_applicable,,,,False,,False,False,True,False
V00,i_8080527769ddb4e67bc9403f,HISTORICAL_LIVE,f,run-f0dd00227515173a1c001c7d,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L250,results/V00.jsonl#L4355,False,not_applicable,,,,False,,False,False,True,False
V00,i_f879e828205903e1ea87d555,HISTORICAL_LIVE,f,run-f0dd00227515173a1c001c7d,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L250,results/V00.jsonl#L4356,False,not_applicable,,,,False,,False,False,True,False
